S. NO.,ScientificName ,Local name ,Type,Height ,Layer
1,Thespesia populnea,"Paras Peepal, Indian Tulip",Flower,12,sub tree
2,Aegle Marmelos,"Bili, Bel, Stone apple, wood apple",Fruit,18,tree
3,Citrus Limon (L) Burm. F.,Limbu,Fruit,5,shrub
4,Murraya paniculata L,"Kamini, Jaswanti",Flower,4,shrub
5,Ailanthus excelsa Roxb.,"Tree of Heaven, Moto Arduso, Rukhdo",Medicinal,25,tree
6,Azadirachta indica,"Neem, Limbdo",Medicinal,25,tree
7,melia azedarach,"Bakam Limdo, Bakain, Pride of India",Flowers,25,tree
8,Commiphora wightii,Gugal,Gummy resin (incense & perfume),4,shrub
9,sapindus emarginatus vahl,"Indian Soapnut, Aritha","Medicinal, Bird attracting",18,tree
10,Mangifera indica,Mango,Fruit,40,canopy
11,Butea Monosperma,"Kesudo, Khakharo, Palash",Flower,15,sub tree
12,dalbergia sissoo,"Indian Rosewood, sheesham, Moto Sisam",Timber,30,tree
13,pterocarpus marsupium,"Indian Kino, Biyo",Medicinal,30,tree
14,Derris Indica,"Karanj, Kanaji","Biodiesel, leguminous, evergreen",20,tree
15,Bauhinia Variegata,"Kachnar, Purple Orchid",Flower,12,sub tree
16,Cassia Fistula,"Amaltas, Garmaro",Flower,12,Sub Tree
17,Cassia Javanica,"Java ki Rani, Pink Shower",Flower,25,Tree
18,Saraca Indica,Sita Ashok,,15,Sub Tree
19,Acacia Nilotica ,"Desi Baval, Indian Gum Arabic","Hardy, Fodder, Drought resistant",20,Tree
20,acacia leucophloea,"Hari Baval, Harmo Baval, White Bark Acacia","Hardy, Edible seeds, Nitrogen Fixing",35,Canopy
21,Acacia Senegal,"Gum Acacia, Garodia Baval",Medicinal Gum,15,sub tree
22,prosopis cineraria,"Khejri, Khijado, Shami","Bishnoi tree, edible pods khejri 'sangri'",10,sub tree
23,Terminalia Arjun,Arjun,Birds,30,Tree
24,Psidium guajava,Guava,Fruit,15,sub tree
25,Syzygium cumini ,"Jambu, Jamun",Fruit,30,tree
26,Anthocephalus indicus,Kadamb,Medicinal,45,Canopy
27,Manilkara hexandra,"Khirni, Ceylon Iron Wood, Rayan",Flower,20,Tree
28,Salvadora Persica,Peelu,Twigs used as toothbrush,6,Shrub
29,Alstonia scholaris,"Daevasurippi, Saptparni",Flower,40,Canopy
30,Millingtonia hortensis,"Indian cork tree, neem chameli, desi buch",Flower,25,Tree
31,Vitex Negundo,"Nirgundi, Nagod, Dhuni",Medicinal,8,Sub Tree
32,Santalum album,"Indian Sandalwood, Chandan",Timber,9,Sub Tree
33,Emblica Officinalis,Aamla,Fruit,18,Tree
34,Ficus benghalensis,Banyan,Birds,30,Tree
35,Ficus drupacea,Pipli,"wasp, birds",25,Tree
,,,,,
,,,,,
,,,,,
,,  ,,,
,, ,,,
